======================================
            Forces File               
      University of Birmingham        
             Ben Palmer               
======================================
 
Date: 01:11 14/03/2014
 
 
   1   -0.1361249123E+00   -0.1361249123E+00   -0.1361249123E+00                 1       1       0
   2    0.1361250138E+00    0.1361250138E+00   -0.1361249121E+00                 2       1       0
   3    0.1361250138E+00   -0.1361249121E+00    0.1361250138E+00                 3       1       0
   4   -0.1361249121E+00    0.1361250138E+00    0.1361250138E+00                 4       1       0
   1   -0.1438883950E+01   -0.3271051431E+00   -0.1120932239E+01   -0.8115441203E+00    0.4124217108E-01   -0.8692315221E+00                 5       2       0
   2    0.1910860979E+01    0.1316579649E+01    0.1102051654E+01    0.9862348437E+00    0.6778233647E+00    0.7578244209E+00                 6       2       0
   3   -0.5928722644E+00   -0.7600482580E+00   -0.1646006770E+01   -0.3852865994E+00   -0.5914083719E+00   -0.1008040071E+01                 7       2       0
   4    0.2674126573E+01    0.1275070726E+01    0.3566270538E+00    0.1541518807E+01    0.1407512873E+00    0.4101035893E+00                 8       2       0
   5   -0.5856505873E+00   -0.1092199026E+01   -0.8320698972E+00   -0.7847864032E+00   -0.1073608756E+01   -0.4740657806E+00                 9       2       0
   6   -0.2110552911E+01   -0.1622183329E+00    0.1299347171E+01   -0.1030500770E+01   -0.2830619924E-02    0.4310639799E+00                10       2       0
   7   -0.1417018922E+01   -0.3316868414E+00   -0.3311213711E+00   -0.1186660409E+01    0.1333093941E+00   -0.1911489218E+00                11       2       0
   8   -0.1901738841E+01   -0.8260714338E+00    0.1152762511E+01   -0.1392374754E+01   -0.7085388303E+00    0.3340161741E+00                12       2       0
   9    0.1148105634E+01    0.8981358661E+00   -0.1143955782E+01    0.6322922111E+00    0.2952132002E-01   -0.7570146918E+00                13       2       0
  10   -0.2097374141E+00   -0.6632865853E+00    0.1590505944E+00   -0.5477149487E+00    0.1566369832E+00    0.1466787606E+00                14       2       0
  11    0.7557379399E+00    0.4611384882E+00    0.3143405311E+00    0.5950397849E+00    0.4780905247E+00    0.7789869905E+00                15       2       0
  12    0.2213053916E+00   -0.8822383976E+00   -0.5109448528E+00    0.1283297837E+00   -0.8919646144E+00    0.3303407729E+00                16       2       0
  13    0.4481970308E+00    0.7699182870E+00    0.1335375246E+01    0.4028048217E+00    0.5651160479E+00    0.8054605126E+00                17       2       0
